port_label,quarter_label,index_label,MissingValue
"Algeria, Oran",Q3 2021,53.73,
"Algeria, Oran",Q4 2021,52.7,
"Algeria, Oran",Q1 2022,51.33,
"Algeria, Oran",Q2 2022,33.26,
"Algeria, Oran",Q3 2022,33.26,
"Algeria, Oran",Q4 2022,45.33,
"Algeria, Oran",Q1 2023,38.87,
"Algeria, Oran",Q2 2023,38.87,
"Algeria, Oran",Q3 2023,52.3,
"Algeria, Oran",Q4 2023,43.37,
"Algeria, Oran",Q1 2024,42.84,
"Algeria, Oran",Q2 2024,55.35,
"Algeria, Oran",Q3 2024,51.09,
"Algeria, Oran",Q4 2024,50.33,
"Algeria, Oran",Q1 2025,52.91,
"Algeria, Skikda",Q1 2006,61.83,
"Algeria, Skikda",Q2 2006,77.09,
"Algeria, Skikda",Q3 2006,73.07,
"Algeria, Skikda",Q4 2006,82.31,
"Algeria, Skikda",Q1 2007,75.58,
"Algeria, Skikda",Q2 2007,79.02,
"Algeria, Skikda",Q3 2007,64.33,
"Algeria, Skikda",Q4 2007,74.14,
"Algeria, Skikda",Q1 2008,70.58,
"Algeria, Skikda",Q2 2008,59,
"Algeria, Skikda",Q3 2008,51.41,
"Algeria, Skikda",Q4 2008,52.01,
"Algeria, Skikda",Q1 2009,55.52,
"Algeria, Skikda",Q2 2009,51.11,
"Algeria, Skikda",Q3 2009,53.92,
"Algeria, Skikda",Q4 2009,53.92,
"Algeria, Skikda",Q1 2010,64.88,
"Algeria, Skikda",Q2 2010,56.85,
"Algeria, Skikda",Q3 2010,77.74,
"Algeria, Skikda",Q4 2010,73.64,
"Algeria, Skikda",Q1 2011,70.67,
"Algeria, Skikda",Q2 2011,66.61,
"Algeria, Skikda",Q3 2011,61.43,
"Algeria, Skikda",Q4 2011,54.14,
"Algeria, Skikda",Q1 2012,43.54,
"Algeria, Skikda",Q2 2012,43.12,
"Algeria, Skikda",Q3 2012,49.08,
"Algeria, Skikda",Q4 2012,43.28,
"Algeria, Skikda",Q1 2013,45.96,
